2024-12-06T11:19:58.003748 | Position: 55.471544, 10.324293, 53.53 m | Raw Position: 55.471544, 10.324293, 53.57 m | RSSI: -53.8 | Remote RSSI: -57.5
2024-12-06T11:19:59.003747 | Position: 55.471544, 10.324293, 53.54 m | Raw Position: 55.471544, 10.324293, 53.58 m | RSSI: -48.1 | Remote RSSI: -50.7
2024-12-06T11:20:00.003749 | Position: 55.471544, 10.324293, 53.54 m | Raw Position: 55.471544, 10.324293, 53.59 m | RSSI: -49.6 | Remote RSSI: -49.6
2024-12-06T11:20:01.003792 | Position: 55.471544, 10.324293, 53.57 m | Raw Position: 55.471544, 10.324293, 53.58 m | RSSI: -49.6 | Remote RSSI: -50.2
2024-12-06T11:20:02.003763 | Position: 55.471544, 10.324293, 53.58 m | Raw Position: 55.471544, 10.324293, 53.63 m | RSSI: -45.9 | Remote RSSI: -50.2
2024-12-06T11:20:03.003755 | Position: 55.471543, 10.324293, 53.60 m | Raw Position: 55.471543, 10.324293, 53.66 m | RSSI: -53.3 | Remote RSSI: -50.7
2024-12-06T11:20:04.003789 | Position: 55.471543, 10.324293, 53.65 m | Raw Position: 55.471543, 10.324293, 53.80 m | RSSI: -51.2 | Remote RSSI: -54.4
2024-12-06T11:20:05.003759 | Position: 55.471543, 10.324293, 53.71 m | Raw Position: 55.471544, 10.324293, 53.85 m | RSSI: -45.9 | Remote RSSI: -51.2
2024-12-06T11:20:06.003770 | Position: 55.471543, 10.324293, 53.77 m | Raw Position: 55.471543, 10.324293, 53.89 m | RSSI: -45.9 | Remote RSSI: -49.6
2024-12-06T11:20:07.003772 | Position: 55.471543, 10.324293, 53.81 m | Raw Position: 55.471543, 10.324293, 53.91 m | RSSI: -34.9 | Remote RSSI: -37.0
2024-12-06T11:20:08.003796 | Position: 55.471543, 10.324293, 53.85 m | Raw Position: 55.471543, 10.324293, 53.95 m | RSSI: -33.3 | Remote RSSI: -32.3
2024-12-06T11:20:09.003762 | Position: 55.471543, 10.324293, 53.89 m | Raw Position: 55.471543, 10.324293, 53.95 m | RSSI: -35.4 | Remote RSSI: -34.9
2024-12-06T11:20:10.003762 | Position: 55.471543, 10.324293, 53.93 m | Raw Position: 55.471543, 10.324293, 53.94 m | RSSI: -33.8 | Remote RSSI: -33.3
2024-12-06T11:20:11.003750 | Position: 55.471543, 10.324293, 53.94 m | Raw Position: 55.471543, 10.324293, 53.97 m | RSSI: -35.4 | Remote RSSI: -33.8
2024-12-06T11:20:12.003771 | Position: 55.471543, 10.324293, 53.96 m | Raw Position: 55.471544, 10.324294, 54.00 m | RSSI: -35.9 | Remote RSSI: -34.9
2024-12-06T11:20:13.003774 | Position: 55.471543, 10.324293, 53.97 m | Raw Position: 55.471544, 10.324294, 53.93 m | RSSI: -36.5 | Remote RSSI: -34.9
2024-12-06T11:20:14.003960 | Position: 55.471544, 10.324294, 53.95 m | Raw Position: 55.471544, 10.324294, 53.88 m | RSSI: -34.9 | Remote RSSI: -35.4
2024-12-06T11:20:15.003772 | Position: 55.471544, 10.324294, 53.92 m | Raw Position: 55.471544, 10.324294, 53.84 m | RSSI: -30.2 | Remote RSSI: -31.2
2024-12-06T11:20:16.003835 | Position: 55.471544, 10.324294, 53.88 m | Raw Position: 55.471544, 10.324295, 53.82 m | RSSI: -29.1 | Remote RSSI: -30.2
2024-12-06T11:20:17.003832 | Position: 55.471544, 10.324294, 53.85 m | Raw Position: 55.471544, 10.324294, 53.81 m | RSSI: -25.4 | Remote RSSI: -24.9
2024-12-06T11:20:18.003799 | Position: 55.471544, 10.324294, 53.83 m | Raw Position: 55.471544, 10.324294, 53.81 m | RSSI: -25.9 | Remote RSSI: -24.9
2024-12-06T11:20:19.003761 | Position: 55.471544, 10.324294, 53.83 m | Raw Position: 55.471543, 10.324294, 53.79 m | RSSI: -28.1 | Remote RSSI: -25.4
2024-12-06T11:20:20.003803 | Position: 55.471543, 10.324294, 53.82 m | Raw Position: 55.471543, 10.324294, 53.86 m | RSSI: -29.6 | Remote RSSI: -30.7
2024-12-06T11:20:21.003805 | Position: 55.471543, 10.324294, 53.83 m | Raw Position: 55.471543, 10.324293, 53.97 m | RSSI: -34.9 | Remote RSSI: -29.6
2024-12-06T11:20:22.004005 | Position: 55.471543, 10.324294, 53.87 m | Raw Position: 55.471543, 10.324293, 53.95 m | RSSI: -35.9 | Remote RSSI: -39.1
2024-12-06T11:20:23.003764 | Position: 55.471543, 10.324293, 53.90 m | Raw Position: 55.471543, 10.324293, 54.00 m | RSSI: -38.6 | Remote RSSI: -40.2
2024-12-06T11:20:24.003792 | Position: 55.471543, 10.324293, 53.93 m | Raw Position: 55.471543, 10.324293, 54.00 m | RSSI: -78.1 | Remote RSSI: -71.2
2024-12-06T11:20:25.003774 | Position: 55.471542, 10.324293, 53.97 m | Raw Position: 55.471542, 10.324293, 54.00 m | RSSI: -67.5 | Remote RSSI: -64.9
2024-12-06T11:20:26.003740 | Position: 55.471542, 10.324293, 53.98 m | Raw Position: 55.471542, 10.324293, 53.96 m | RSSI: -84.4 | Remote RSSI: -74.4
